id,name,country,type,subtype,claim_tco2_yr,aoi_or_loc,metric_pre,metric_post,metric_change_pct,implied_claimed,implied_observed,ratio_obs_to_claim,n_observations,implied_capture_rate,severity,scan_status
4057,Guangzhou Xingfeng landfill gas to LNG Project,China,methane,Energy industries (renewable/n,459846,"23.268,113.494",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2740,Dekang AWMS GHG Mitigation Project in Sichuan Province,China,methane,Energy industries (renewable/n,456897,"29.130,106.840",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2692,Aonong AWMS GHG Mitigation Project in Fujian Province,China,methane,Energy industries (renewable/n,451807,"24.247,118.828",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2691,Aonong AWMS GHG Mitigation Project in Jiangxi Province,China,methane,Energy industries (renewable/n,432191,"25.900,116.250",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2741,Dekang AWMS GHG Mitigation Project in Guizhou Province,China,methane,Energy industries (renewable/n,427200,"26.190,109.310",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2291,Guizhou Panjiang Low Concentration Coal Mine Methane Power Generation Project Phase 2,China,methane,Fugitive emissions from fuels ,419925,"25.700,104.543",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2739,Reducing Gas Leakages within the Pashchimanchal Gas Distribution Network in Bangladesh,Bangladesh,methane,Fugitive emissions from fuels ,371861,"24.422,89.598",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2846,FSW AMMS GHG Mitigation Project in Nanyang City,China,methane,Energy industries (renewable/n,364750,"33.220,112.730",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2402,Linshu Biogas Recovery and Power Generation Project,China,methane,Energy industries (renewable/n,359691,"34.915,118.572",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2746,Guangzhou Eastern Solid Resource Recycling Center MSW Integrated treatment Plant Project,China,methane,Energy industries (renewable/n,359014,"23.284,113.515",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4508,Weibei Pipeline Associated Gas Recovery Project,China,methane,Energy industries (renewable/n,354152,"21.050,109.080",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2830,Huineng Low Concentration Coal Mine Methane Utilization Project,China,methane,Fugitive emissions from fuels ,352106,"37.709,113.616",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4050,Jiangxi Zhenghe Livestock Manure Treatment Project,China,methane,Energy industries (renewable/n,351126,"28.428,115.697",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4696,Biaofa Juancheng Animal Manure Management Project,China,methane,Energy industries (renewable/n,331420,"35.530,115.623",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4601,An Qiu Biogas Utilization Project,China,methane,Energy industries (renewable/n,329347,"36.484,119.201",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2876,Muyuan WJZ AWMS GHG Mitigation Project in Henan Province,China,methane,Energy industries (renewable/n,321663,"32.869,112.454",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4784,Wuhan Jiangxia Changshankou LFG Power Project Phase I,China,methane,Energy industries (renewable/n,315624,"30.353,114.209",,,,,,,,,outside_cm_coverage,outside_cm_coverage
2844,Tanghe AMMS GHG Mitigation Project,China,methane,Energy industries (renewable/n,310169,"32.677,113.072",,,,,,,,,outside_cm_coverage,outside_cm_coverage
1166,Nanba Associated Gas Processing Plant and the Auxiliary Engineering,China,methane,Fugitive emissions from fuels ,301731,"46.550,125.015",,,,,,,,,outside_cm_coverage,outside_cm_coverage
3369,Tieqilishi Sichuan Liangshan AWMS GHG Mitigation Project,China,methane,Energy industries (renewable/n,284588,"26.352,102.725",,,,,,,,,outside_cm_coverage,outside_cm_coverage
1941,Sustainable City Projects at India’s Cleanest City- Indore,India,methane,Energy industries (renewable/n,283396,"22.676,75.926",,,,,,,,,outside_cm_coverage,outside_cm_coverage
4947,DIT AgTech grouped project: reduction of enteric methane emissions from livestock production systems via the uDOSE water medication technology.,Australia,methane,"Livestock, enteric fermentatio",280692,"-27.560,151.953",,,,,,,,,outside_cm_coverage,outside_cm_coverage
