ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,92581,II,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Systems Analysts,128600,III,CO,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144310,IV,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,94682,II,NJ,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Analyst “ Testing,Software Quality Assurance Analysts and Testers,81994,II,IN,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Techno Functional Consultant L2,Computer Systems Analysts,90896,II,WI,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,130811,IV,PA,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Network Support Specialist,Computer Network Support Specialists,62587,II,TX,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Information Technology Project Manager,Information Technology Project Managers,80974,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,158974,IV,NJ,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Applications Consultant 4,Software Developers,147430,IV,CT,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Senior Technology Architect - US,Computer Systems Engineers/Architects,108243,III,TX,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,104062,III,CT,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,110094,III,FL,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Developer,Computer Programmers,82243,II,OH,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Domain Project Lead 1,Project Management Specialists,88608,II,NC,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,112216,III,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,111550,II,WA,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Application Architect,Computer Systems Analysts,135348,III,CA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,142771,IV,PA,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Business Analyst L4,Computer Systems Analysts,103917,II,NY,3
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Systems Analysts,121800,III,GA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Analyst,Computer Systems Analysts,92539,II,GA,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Group Technical Architect,Computer Systems Engineers/Architects,144310,IV,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,118456,III,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Project Lead 3,Information Technology Project Managers,135512,IV,TX,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,130083,IV,MN,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Developer,Software Developers,131998,II,NY,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,92581,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,108514,III,GA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified - Withdrawn,H-1B,Developer,Computer Programmers,77418,II,TX,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified - Withdrawn,H-1B,Database Administrator (DBA),Database Administrators,130000,II,NV,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified - Withdrawn,H-1B,Systems Analyst,Computer Systems Analysts,115000,II,NV,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified - Withdrawn,H-1B,Technical Lead,Information Technology Project Managers,92581,II,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified - Withdrawn,H-1B,Developer,Computer Programmers,96637,II,OH,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Withdrawn,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,119184,IV,OH,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,"Consultant, Data Engineering",Software Developers,138000,II,AZ,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,111550,II,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 3,Computer Systems Engineers/Architects,181293,III,CA,1
