cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
906573HM5,Union Elementary,Santa Clara,4.0,2046-09-01,98.592,0.04095,0.0823,False,99.2,33.7,0.135,Relatively High,2.31,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),89,6,REVIEW,False
91412HJC8,UNIV OF CALIFORNIA-BH,,4.0,2039-05-15,100.46,0.03897,0.0783,False,99.2,,,,,,UNZONED,90,CC-UNKNOWN,49,3,REVIEW,True
918608SH4,Vacaville Unified,Solano,4.0,2042-08-01,98.921,0.04105,0.0825,False,99.2,69.6,0.056,Relatively High,1.5,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),95,8,FLAG,False
918608UF5,Vacaville Unified,Solano,4.0,2045-08-01,98.13,0.04142,0.0833,False,99.2,69.6,0.056,Relatively High,1.5,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),241,44,REVIEW,False
91882RGQ9,Val Verde Unified,Riverside,4.0,2040-08-01,99.382,0.03794,0.0763,False,99.2,97.2,0.887,Very High,1.55,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),13,1,FLAG,False
919259CP4,essential-service water/wastewater revenue,,4.0,2046-05-01,98.866,0.0407,0.0818,False,,,,,,,UNZONED,,N/A-REVENUE,13,2,CLEAR,False
919261KN6,Vallejo City Unified,Solano,4.0,2045-08-01,99.624,0.04016,0.0807,False,99.2,46.7,0.12,Relatively High,2.28,BAY (San Andreas N / Hayward),HIGH,84,QUALIFIED,75,4,FLAG,False
919526AW3,,,,,,,,,,,,,,,UNZONED,,,,,UNSCREENED,False
923004TS4,Ventura Unified,Ventura,4.0,2043-08-01,99.771,0.03894,0.0783,False,99.2,65.7,0.285,Very High,2.25,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),23,4,REVIEW,False
925836KH0,Victor Elementary,San Bernardino,4.0,2044-08-01,98.475,0.0412,0.0828,False,99.2,76.4,0.085,Relatively High,1.42,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,POSITIVE(absent),79,7,REVIEW,True
92603PEK4,CA school/CC district GO,,4.0,2044-08-01,97.889,0.04162,0.0837,False,,,,,,,UNZONED,,,100,11,UNSCREENED,False
926055KG8,Victor Valley Union High,San Bernardino,4.0,2036-08-01,99.225,0.0401,0.0806,False,99.2,80.1,0.145,Relatively High,1.29,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,UNRESOLVED-AMBIG,83,16,FLAG,False
926055KH6,Victor Valley Union High,San Bernardino,4.0,2037-08-01,99.991,0.04,0.0804,False,99.2,80.1,0.145,Relatively High,1.29,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,UNRESOLVED-AMBIG,120,11,FLAG,True
926055KH6 91412HJC8 050002AW4 547541LJ9 012104QQ1 058219UM6 697479CB7 291119KP9 63877NLV7 168520PA6 223093TK1 519547EE9 952347U75 937414DH0 724586BE1 796472AS7 817409H32 171314LB1 801686SJ6 564538GA8 607735CA3 900211CN1 861419ZJ1 925836KH0,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
928346PJ8,Vista Unified,San Diego,3.0,2034-08-01,97.262,0.03179,0.0629,True,99.2,58.2,0.123,Very High,1.07,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),39,5,REVIEW,False
928346PQ2,Vista Unified,San Diego,4.0,2044-08-01,98.11,0.04138,0.0832,False,99.2,58.2,0.123,Very High,1.07,SAN DIEGO (Rose Canyon / Elsinore),HIGH,90,POSITIVE(absent),138,11,REVIEW,False
936818CP6,Wasco Union High,Kern,3.0,2041-05-01,86.121,0.042510000000000006,0.0777,True,99.2,86.4,0.231,Relatively High,0.96,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),26,7,REVIEW,False
936818CQ4,Wasco Union High,Kern,3.0,2042-05-01,85.602,0.04249,0.0779,True,99.2,86.4,0.231,Relatively High,0.96,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),17,4,REVIEW,False
93681EAS9,CA school/CC district GO,,4.0,2041-08-01,99.966,0.03978,0.08,False,,,,,,,UNZONED,,,35,11,UNSCREENED,False
937414DH0,Washington Unified,Fresno,4.0,2045-08-01,97.155,0.04176,0.0839,False,99.2,61.9,0.0,Relatively Low,0.79,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),35,2,REVIEW,True
941367BL7,CA school/CC district GO,,4.0,2042-08-01,100.252,0.040839999999999994,0.0821,False,,,,,,,UNZONED,,,15,1,UNSCREENED,False
951254DQ1,essential-service water/wastewater revenue,,4.0,2041-08-01,100.953,0.04463,0.0897,False,,,,,,,UNZONED,,,25,3,UNSCREENED,False
9523473H3,West Contra Costa Unified,Contra Costa,3.0,2038-08-01,93.807,0.03635,0.0687,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),44,8,REVIEW,False
9523473K6,West Contra Costa Unified,Contra Costa,3.0,2040-08-01,88.469,0.0408,0.075,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),45,6,REVIEW,False
9523473L4,West Contra Costa Unified,Contra Costa,3.0,2045-08-01,80.373,0.04547,0.0832,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),76,8,REVIEW,False
9523474D1,West Contra Costa Unified,Contra Costa,3.0,2035-08-01,97.663,0.0311,0.0621,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),50,3,REVIEW,False
9523474F6,West Contra Costa Unified,Contra Costa,3.0,2037-08-01,93.992,0.03649,0.0687,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),14,2,REVIEW,False
9523474G4,West Contra Costa Unified,Contra Costa,3.0,2038-08-01,89.581,0.04025,0.0741,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),52,3,REVIEW,False
9523474H2,West Contra Costa Unified,Contra Costa,3.0,2039-08-01,88.174,0.03886,0.0732,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),19,2,REVIEW,False
9523474K5,West Contra Costa Unified,Contra Costa,3.0,2045-08-01,81.744,0.0435,0.0806,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),47,8,REVIEW,False
9523476G2,West Contra Costa Unified,Contra Costa,3.0,2039-08-01,87.754,0.03956,0.0741,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),25,2,REVIEW,False
9523476K3,West Contra Costa Unified,Contra Costa,3.0,2046-08-01,79.244,0.045970000000000004,0.0842,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),27,5,REVIEW,False
952347L75,West Contra Costa Unified,Contra Costa,4.0,2041-08-01,98.354,0.04011,0.0806,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),83,18,REVIEW,False
952347L83,West Contra Costa Unified,Contra Costa,4.0,2046-08-01,94.847,0.04386999999999999,0.0865,True,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),39,10,REVIEW,False
952347N40,West Contra Costa Unified,Contra Costa,4.0,2041-08-01,99.16,0.04069,0.0818,False,99.2,46.1,0.031,Relatively High,2.15,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),35,5,REVIEW,False
